raw_index,source,content,tokens
46,46,"Engine oil: 700 ml, Manufacturer: TVS Motor Company, Brand: TVS TRU4 SKUUTA oil (SAE 10W30 API-SL, JASO MB)
Transmission oil: 120 ml, Manufacturer: TVS Motor Company, Brand: TVS TRU4 SKUUTA oil (SAE 10W30 API-SL, JASO MB)
Front fork oil: 92 ± 1 ml / leg, Manufacturer: IOC, Brand: Gabriel Premium front fork oil
Grease: Manufacturer: Bharat petroleum, Brand: MP Grease No. 3; Manufacturer: IOC, Brand: Servo Gem No. 3; Manufacturer: Bechem, Brand: Bechem Premium grade 3; Manufacturer: Kluber Lubrication, Brand: Kluber Centoplex 2",166
47,47,"45SELF-MAINTENANCE PROCEDURES: MAINTENANCE FREE (MF) Battery:
The battery is located at the front of the vehicle inside the front panel. To access the battery, the front panel must be removed. To do this, follow the procedure below:
1. Remove the two front panel mounting screws shown in the figure.
2. Gently pull out the front panel by dislocating its lugs, taking care not to damage the mounting lugs.
3. During reassembly, reverse the removal procedure.
Since the maintenance free battery is fitted in the vehicle, it is not necessary to top-up with distilled water. However, to ensure battery performance and long life, the following steps should be followed:
1. Check the battery voltage as per the schedule.
2. If the voltage is less than 12.4 Volts, charge the battery using the recommended MF battery charger at a TVS Motor Company Authorised Main Dealer/Authorised Dealer.
3. Adding any additional electrical accessories other than those recommended by TVS Motor Company Limited may lead to disqualification of warranty coverage.",233
48,48,"Connect the red wire to the '+' terminal and black wire to the '-' terminal of the battery. Apply petroleum jelly at terminals to prevent corrosion. In case of any abnormality or for removal of battery from the vehicle, contact TVS Motor Company Authorised Main Dealer / Authorised Dealer. Never check the battery charge by shorting the terminals. Always connect the positive terminal first (red wire) and then negative (black wire) to avoid sparking. The inversion of the battery wires can damage the battery and the electrical system. To maintain battery health during prolonged parking conditions, it is recommended to ride the vehicle for minimum 60 km every week to keep the battery in healthy condition. Before storage, store the battery only after fully charging it and battery fuse to be disconnected and stored safely. This task should be done by skilled personnel.",168
49,49,"Skilled personnel must disconnect the positive and negative wires of the battery and secure the fasteners. During storage, the vehicle should be stored at room temperature or lower, in the shade, and protected from rain. Additionally, the vehicle should be covered to prevent rodents from entering and damaging the wires. After storage, the wires and fuse should be connected with the ignition switch in the OFF position. Periodic maintenance of the batteries should include keeping the top of the battery clean, checking cables, clamps, and case for damage or loose connections, cleaning terminals and connectors as necessary, and recharging the battery if the voltage is below 12.4 Volts. VRLA/Lead Acid batteries are prone to water damage, so any water entry will result in irreparable damage to the battery or the vehicle. Never operate the vehicle with a discharged battery, and do not push start the vehicle. Caution: Batteries develop explosive gases, so keep them away from heat sources. If charging is required, the battery must be charged in a well-ventilated area. Unusable batteries must be disposed of in an environment-friendly manner and should not be discarded with household trash. Handover the battery to the battery dealers or to a recycle center that accept used batteries.",253
50,50,"Do not use the vehicle by shorting the wires without fuse, as this may result in overheating of electrical items/wiring and may cause fire. Do not use a fuse of higher amperage than specified for the safety of the electrical system. Non-working of electrical systems may be due to safety fuse failure, which is caused by short circuit or overload in the electrical system. There are two fuse cases containing one blade type fuse (15A) and two mini fuses (10A) located near the battery. To inspect and replace the fuse, turn 'OFF' the ignition, remove the front panel, take out the fuse cases located near the battery one by one, open the fuse cases and pull out the fuse, inspect the fuse for failure, and if found blown, replace it with a new one (additional fuses are provided in the wiring harness itself in a pouch or provided inside the fuse case itself). Close the fuse case and re-fix it into the battery box, turn 'ON' the ignition switch and check for proper functioning of electrical systems. If the fuse fails again, consult the nearest TVS Motor Company Authorised Main Dealer/Authorised Dealer. Good Fuse/Blown Fuse.",249
51,51,"To access the spark plug, remove the cover front by unscrewing the top mounting screws (A) from both sides and the bottom mounting screws (B). Gently pull out the cover front by dislocating its lugs. Clean the dust and mud around the spark plug mounting to avoid falling inside the cylinder. Pull out the suppressor cap from spark plug and use a spark plug spanner to remove the spark plug. If necessary, clean the carbon deposits from the spark plug with a small wire brush or spark plug cleaning tool. Inspect the spark plug electrodes (A) and (B) for any corrosion and replace the spark plug if found. Inspect the spark plug gap visually (1.0 ~ 1.1 mm) and replace the spark plug if found more.",156
52,52,"Clean and check the gap of the spark plug, then tighten it by hand to avoid cross threading. Use a spark plug spanner to further tighten the plug, but do not over tighten or cross thread. Reattach the suppressor cap and ensure it is properly fitted. Use only the recommended make and type of spark plug and replace it every 12000 km. Do not remove the spark plug when the engine is hot, and cover the spark plug hole with a clean cloth when the plug is removed to prevent dust/water entry. Tighten the new spark plug by hand until the end, then loosen and re-tighten by 1/8 of a rotation after sealing with a hand tool. Do not adjust the plug electrodes of a hook type spark plug as it may damage the electrodes. Check the engine oil level periodically by placing the vehicle on a centre stand on a flat surface, wiping off the surroundings of the gauge oil level, removing the gauge and wiping it clean, fixing the gauge back to its mounting hole without threading in, taking out the gauge and checking the oil level between the minimum and maximum level marks, and adding TVS TRU4 SKUUTA oil (SAE 10W30 API-SL, JASO MB) up to the maximum level mark if the oil is less than the minimum level.",269
53,53,"If the vehicle is driven with insufficient engine oil and transmission oil, the engine components will be severely damaged. Check the oil level between services to avoid costly damage. Do not fill excess oil, as it may cause oil leak. Always use TVS TRU4 SKUUTA oil (SAE 10W30 API-SL, JASO MB) only. Wipe out the oil traces with a clean cloth to prevent dust accumulation. Assemble back the gauge oil level. To check the transmission oil level, place the vehicle on centre stand on a flat surface. Wipe-off the surroundings of oil level screw. Remove the transmission oil level screw along with a gasket from the rear end of crankcase L. Check for the flow of oil from oil level hole. If the level is less (if there is no oil flow), top-up with TVS TRU4 SKUUTA oil (SAE 10W30 API-SL, JASO MB) till the oil just starts to flow out from the oil level hole. Wipe out the oil traces with a clean cloth to prevent dust accumulation. Inspect the condition washer while reassembling the oil level screw. Replace if required.",246
54,54,"Measure the free play of the front brake lever at the lever end, with the free play before the engagement of brake being between 15 ~ 20 mm. Turn the adjuster nut at the bottom side (1) in the slot marked as ‘I’ in clockwise direction for reducing the free play or in anti-clockwise direction for increasing the free play. After obtaining the necessary free play, inspect for the clearance between the bullet (3) and slot end (4) marked as ‘S’.",105
55,55,"If clearance is found, turn adjuster nut (2) marked 'S' clockwise until there is no clearance between bullet top (3) and slot top (4). Since vehicle is fitted with Synchronised Braking Technology (SBT), adjust brakes with additional care. If not, brakes may not work properly. Contact TVS Motor Company Authorised Main Dealer/Authorised Dealer for assistance. After adjusting adjuster nut top, if clearance is observed between bullet bottom (5) and slot bottom (6) marked 'I', turn adjuster nut (2) anti-clockwise until there is no clearance. Once again check and confirm brake play at lever end. When brake is applied, wear limit index mark (1) on front brake cam should be within wear limit indicator (2) on front brake panel.",166
56,56,"If the wear limit index mark (1) is greater than the wear limit indicator (2), index the lever to the next slot with the help of the Dealer to extend the shoe life. Replace the brake shoes as a set if the wear limit indicator is still beyond the wear limit after indexing the lever. Caution: Rear brake - measure the free play of the rear brake lever at the lever end as shown in the figure, with the free play of the brake lever before the engagement of brake being between 10 ~ 15 mm. Please remember that the rear brake lever free play adjustment should be done only after adjusting the front brake lever play. Note: 10 ~ 15 mm.",136
57,57,"When the brake is applied, the wear limit indication pointer (1) on the rear brake cam lever should be within the wear limit indicator (2) on the crankcase LH. If the measured distance is more than the limit, adjust the nut provided at the rear wheel end to obtain the correct play. Turn the adjuster nut in clockwise direction for reducing free play or in anti-clockwise direction for increasing the free play. Check the front brake and the rear brake play periodically and adjust if required. However, the brake play needs to be adjusted more frequently depending upon the usage. Replace the brake shoes as a set, if the wear limit indicator shows beyond the wear limit even after indexing the lever.",143
58,58,"TVS Jupiter 125 is provided with 3 step adjustable rear shock absorbers to meet different road and load conditions. There are 3 notches for adjusting spring load: minimum notch (softer, good for light loads), middle notch (medium stiffness), and maximum notch (stiffer, good for heavy loads). Adjust the spring pre-load by shifting the adjuster to the required notch according to the different load conditions. The more the spring is compressed, the stiffer the suspension becomes.",98
59,59,"Check the tyre pressure of 57TYRES at least once a week, if not more frequently. Insufficient air pressure in the tyres can hasten tyre wear and affect the stability of the vehicle. Cornering can be difficult with under-inflated tyres, and over-inflated tyres can decrease tyre contact with the ground, leading to skidding and loss of control. Ensure that the tyre pressure is within the specified limit at all times. For cold conditions, the front tyre pressure should be 1.68 kg/cm² (24 PSI) and the rear tyre pressure should be 2.25 kg/cm² (32 PSI) for solo tyres, and 1.68 kg/cm² (24 PSI) for the front tyre and 2.53 kg/cm² (36 PSI) for the rear tyre for dual tyres. Operating the vehicle with excessively worn tyres can decrease riding stability and lead to loss of control. Replace the tyre when the tyre wears off to the tyre wear indicator level (indicated by TWI (A) on the tyre). When reassembling the tyres, after removing from the wheel rim, ensure that the arrow mark is facing the direction of wheel rotation while fixing the tyre on the wheel rim. 57TYRES are fitted with tubeless tyres on both front and rear wheels. In case of any puncture or tyre damage, visit the nearest tyre manufacturer Dealer or tyre repair shop who knows the repairing method of tubeless tyres",298
60,60,"It is strongly recommended to use a tyre removal/fitment machine for tyre removal, if necessary. If tyre levers must be used, they should be free from sharp edges and care should be taken not to damage the tyres and rims. The tyre inflation pressure in cold condition and the tyre tread condition are essential for the performance and safety of the rider, so the tyres should be checked frequently for inflation pressure and wear pattern. Using a tyre other than the standard may cause instability. Additionally, caution should be taken not to damage the side walls of the tubeless tyres during removal/reassembly, as they are the only seals that keep the air inside the wheel assembly.",134
61,61,"IF vehicle is in hold condition FOR long time THEN:
• NEED movement OF vehicle TO avoid particular spot OF tyre NOT TO touch ground FOR more than week time.
• Inflation pressure SHOULD BE checked ON cold condition AND maximum travel time SHOULD NOT exceed more than 1 km.
• Checking inflation pressure ON weekly basis HELPS TO improve 10% OF tread life & fuel efficiency. Tyre maintenance tips: Inflation pressure check - Condition: RT - Within 1 km, Within 5 km. NOTE.",101
62,62,"Remove axle nut (1) and washer. Pull out axle (2) and spacer from right side of wheel. Place support below foot board to prevent vehicle from falling and lift vehicle up. Dislocate wheel assembly and brake panel from front fork. Separate brake panel from wheel and take out wheel. Reverse procedure for reassembling, making sure to locate lug on fork leg L to slot in brake panel. Place vehicle on centre stand. Hold rear brake firmly and remove wheel mounting nut (A) and washer. Slightly tilt vehicle and take out wheel from rear axle. Reassemble wheel in reverse order of removal. Always make sure axle nuts are tightened properly to specified torque when wheel is removed. Warning.",146
63,63,"For storage of your scooter for longer period of over a month and above, we recommend to carry out the following steps: 1. Clean the vehicle thoroughly and park it on centre stand. 2. Warm up the engine and drain engine oil and transmission oil. Store the oil, if new, in a dust free container. 3. Empty the fuel tank. 4. Remove the spark plug and feed in several drops of engine oil through spark plug hole. Crank the engine few times and reinstall the spark plug. 5. Remove the battery, store it away from direct sunlight and freezing temperatures. 6. Place a suitable support at the bottom of the foot board so that both the tyres are off the ground. This will ensure better tyre life. 7. Cover up the vehicle completely with a clean tarpaulin or any other suitable cover. 8. Store the vehicle inside a garage or similar area to avoid damage due to dust and rain. Make sure that the storage area is well ventilated and free from any source of flame or spark. Do not park the vehicle on a slope or soft ground or else it may fall down. The exhaust system becomes hot after a run. Park the vehicle in a place where pedestrians or children are not likely to touch the vehicle. During storage, the battery must be recharged at recommended charger if stored more than a month. Caution.",277
64,64,"Take the vehicle out of the garage and clean it thoroughly. Remount the battery after bench charging if required. Fill the engine oil (TVS TRU4 SKUUTA - SAE 10W30 API-SL, JASO MB oil) and check the oil level using the gauge oil level. Fill the transmission oil (TVS TRU4 SKUUTA - SAE 10W30 API-SL, JASO MB oil) and check the oil level at the oil level screw. Lubricate the parts as instructed in the periodic maintenance schedule. Fill up fresh petrol in the fuel tank. Check and inflate the tyres to the specified tyre pressure. Check and correct the points mentioned in page No. 37. Turn the ignition switch to 'ON' position. Turn 'ON' the engine kill switch if turned 'OFF'. Retract the side stand and start the engine. Wait for few seconds and ride out. Caution: Avoid using alkaline solution like detergent soaps for washing. This may damage head lamp and other lamp assemblies.",217
65,65,"Recommended_Tips_for_Long_Trips_of_More_Than_500_KM:
A) Emergency_Items:
1. Tool_kit_complete.
2. Recommended_spark_plug_one_number.
3. Turn_signal_lamp_bulb_one_number.
4. Throttle,_front_and_rear_brake_cable_each_one.
5. First_aid_kit.
B) Journey_Precautions:
1. Ensure_engine_oil_and_transmission_oil_are_up_to_level.
2. Adequate_fuel_in_fuel_tank.
C) Scooter_Check:
1. Tightness_of_all_bolts_and_nuts_with_correct_torque_value.
2. Fitness_of_tyres/tyre_pressure/tread_depth.
3. All_bulbs,_indicators_and_horn_functioning.
4. Smooth_functioning_of_all_cables_and_their_free_play.
5. Smoothness_of_steering_operation.
6. Front/rear_brake_function_and_rear_brake_lamp_working.
7. Front_fork_for_any_",298
66,66,Facility available at selected Dealerships only. Terms and conditions apply. EXPRESS SERVICE: Get your vehicle serviced in one hour at no additional cost. Contact your nearest Dealership for details.,40
67,67,"""65Facility available at selected Dealerships only. Terms and conditions apply. Busy Life? Easy Servicing! Now, service your bike anywhere, anytime. Service the vehicle at your door step. Available for regular maintenance or breakdown service only. Offered at nominal convenience charges. Contact your nearest Dealership for details./c133EXPERT ON WHEELS.""",77
68,68,"AI: Busy life? Easy servicing! Now, service your bike anywhere, anytime with facility available at selected dealerships only. Service the vehicle at your door step for regular maintenance or breakdown service only. Offered at nominal convenience charges. Contact your nearest dealership for details. Terms and conditions apply. Pickup and drop facility available.",67
69,69,"TVS Motor Company Limited (‘the Company’) provides a warranty for the TVS Jupiter 125 manufactured by the Company. This warranty is valid for 5 Years from the date of purchase or for the first 50,000 km of run for the vehicle in the hands of the original retail purchaser, whichever is earlier. The Company will repair or replace, free of cost, any parts of the vehicle which prove to the Company's satisfaction to have a manufacturing defect. The Company reserves the right to use parts of the same brand as the affected parts or any other brand used in the course of manufacture. All parts replaced under this warranty will become the Company's property and must be returned to the Company. This warranty does not apply to any natural wear and tear, including without limitation, aging, proprietary items such as tyres, tubes and batteries, parts repaired or replaced under this warranty, or any delay in servicing due to reasons beyond the control of the Company or any of its Authorised Main Dealers / Authorised Dealers.",206
70,70,"The Company is not liable for indirect, remote, incidental or consequential damages. The Company may make any modification or improvement to vehicles in future production at any time without prior notice and without any obligation to install the same on vehicles previously dispatched for sale. Any claim under this warranty will lie only when the customer takes their vehicle to an Authorised Main Dealer/Authorised Dealer of the Company, reports the problem they felt in the vehicle, and produces the owner's manual for verification of relevant details. This is the only warranty given by the Company for the TVS Jupiter 125. No employee, Dealer or other person is authorised to extend or enlarge this warranty. Modifications to this vehicle not approved by the TVS Motor Company may cause loss of performance and render it unsafe for use and disqualifies for warranty coverage also. For battery related queries, call toll free numbers: EXIDE - 1800 103 5454, AMCO - 1800 425 0096, TATA GREEN - 1800 419 8888, AMARON - 1800 425 5858. For tyre related queries, call toll free numbers: TVS Srichakra - 04522443300, JK tyre - 18002581100, Maxxis tyre - 1800 532 2888.",247
71,71,"ITEM: WHAT TO CHECK FOR
Normal Maintenance operations: Engine tune-up, decarbonizing, fuel system cleaning, oil changes, headlight focusing, fastener retightening, ignition timing, clutch and brakes as well as other normal adjustments.
Wear & tear items: Chain, sprockets, clutch and brake linings, fasteners, shims, washers, oil seals, gaskets, ‘O’ rings and spokes etc.
Electrical: Bulbs, fuse, AHO, DRL etc.
Service Maintenance Parts: Oil filters, spark plug, air filter, oil and brake fluid
Rubber, rexine & plastic items: All hoses, pipes and plastic aesthetics
Proprietary Items: Battery, tyres and tubes (the warranty terms are subject to our agreement with proprietary OEM)
Parts of the vehicle getting affected due to atmospheric effect / environmental factors (rusting, paint peel off etc.): However, depending on the vehicle usage condition, warranty would be accepted up to 2 years from the date of purchase.
Others Factors: Parts of the vehicle which have been tampered with, altered, repaired or replaced by persons not authorised by the Company and which in the sole judgement of the Company affect the performance of the vehicle.
Parts which are used in conjunction with parts not made or recommended by the Company.",280
72,72,"Parts not covered under warranty: 
ITEM: WHAT TO CHECK FOR
- Parts suffering damage or resultant damage due to accident, misuse, negligent treatment, use of bad quality lubricants or impure fuel, or failure to follow guidance and instructions in owner's manual.
- Vehicles with deleted, defaced, or altered engine number or chassis number.
- Vehicles on which any warranty service including scheduled paid service is not availed when due (at TVS Motor Company Authorised Main Dealer / Authorised Dealer).
- Vehicles sold or transferred by original retail purchaser.
- Vehicles used for racing or any competition or used otherwise than for ordinary personal transportation.
- Vehicles attached with side cars, etc.
- Vehicles taken out of India.
- Vehicles affected by natural calamities such as flood, earthquake, tsunami, storm, etc.
- Vehicles used for commercial purposes such as taxi, rental, or hiring, or any other purpose other than regular personal transportation.",199
73,73,"There are nine services for TVS Jupiter 125 during warranty period, of which the first three are free services with free labour charges. In addition, there is a scheme of six pay services. Free and pay service record sheets are attached in the Service Handbook given to the customer at the time of purchase. To avail any of the nine warranty services, the customer must take their vehicle and Service Handbook to an Authorised Main Dealer or Authorised Dealer. After the service is completed, the Authorised Main Dealer or Authorised Dealer will stamp the last column of the free or pay service record sheet in the Service Handbook. An OTP will be sent to the customer's registered mobile number, which must be shared with the servicing Dealer before vehicle delivery. Periodic maintenance is necessary for availing of warranty and for keeping the vehicle at its best level of performance. In case of any clarification or assistance, the customer can write to the Service Department of TVS Motor Company Limited, mentioning the frame number, engine number, date of purchase, name and place of the Authorised Main Dealer/Authorised Dealer from whom the vehicle was bought and serviced. Toll free number is 1800-258-7111.",239
74,74,"Sl.No. Service Type Kms Months Cost
1 1st Service Free 500 ~ 750 30 ~ 60 days Free
2 2nd Service Free 5500 ~ 6000 6 Free
3 3rd Service Free 11500 ~ 12000 12 Free
4 4th Service Pay 17500 ~ 18000 18 Chargeable
5 5th Service Pay 23500 ~ 24000 24 Chargeable
6 6th Service Pay 29500 ~ 30000 30 Chargeable
7 7th Service Pay 35500 ~ 36000 36 Chargeable
8 8th Service Pay 41500 ~ 42000 42 Chargeable
9 9th Service Pay 47500 ~ 48000 48 Chargeable
Note: After the above schedule, periodic servicing of the vehicle at appropriate intervals, depending upon its extent of use, will keep the vehicle at its best level of performance. Cost of engine oil, periodic maintenance parts, filter, brake fluids, all types of greases, petroleum jelly, distilled water, chain cleaner, lubricants, coolants, cleaning cloths for both free and paid services are chargeable to the customer.",219
75,75,"Description: TVS Jupiter 125 (Sheet Metal Wheel - Drum Type)
Manufacturer: TVS Motor Company Limited
P.B. No.: 4, Harita, Hosur - 635 109, India
Village Bhatian, Bharatgarh Road, Teh Nalagarh, Dist. Solan, Himachal Pradesh - 174 101, India
Engine Type: Single cylinder, 4 stroke, fuel injection, air cooled, spark ignition engine
Cylinder Bore: 53.5 mm
Stroke: 55.5 mm
Piston Displacement: 124.76 cc
Compression Ratio: 10.3 ± 0.3 : 1
Air Filter: Dry paper filter element
Oil Filter: Wire mesh
Lubrication System: Forced wet sump
Maximum Power: 6.0 kW @ 6500 rpm
Maximum Torque: 10.5 Nm @ 4500 rpm
Maximum Speed: 84 km/h
Engine Idling RPM: 1450 ± 100 rpm (under warm condition)
Starting System: Electric starter
Emission Norms: BS VI",229
76,76,"DESCRIPTION: TVS Jupiter 125 (Sheet Metal Wheel - Drum Type)
TRANSMISSION: Clutch Dry - Centrifugal clutch, Primary transmission CVT (Continuously Variable Transmission), Primary reduction 2.58 to 0.8, Secondary reduction 9.08
CHASSIS: Overall length 1852 mm, Overall width 681 mm, Overall height 1168 mm, Seat length 790 mm, Ground clearance (unladen) 160 mm, Wheel base 1275 mm, Kerb weight (with toolkit and 90% of fuel) 109 kg, Pay load 130 kg, Maximum laden weight 239 kg, Steering angle 90°, Caster angle 25°, Frame High rigidity underbone type, Front suspension Telescopic hydraulic, Rear suspension Toggle link, gas filled hydraulic damper, Trail length 93 mm.",171
77,77,"BRAKES: Front 130 mm dia Drum (hand operated); Rear 130 mm dia Drum (hand operated)
TYRE: Front tyre 90/90 - 12 54J (tubeless); Rear tyre 90/90 - 12 54J (tubeless); Front tyre pressure 1.68 kg/cm² (24 PSI); Rear tyre pressure - Solo 2.25 kg/cm² (32 PSI); Rear tyre pressure - Dual 2.53 kg/cm² (36 PSI)
ELECTRICAL: Ignition system ECU controlled ignition; Spark plug BOSCH UR5KCU / CHAMPION RG8MC5; Spark plug gap 1.0 ~ 1.1 mm; Battery type 12V, 4Ah MF battery; Generator (flywheel magneto) 12V, 130 W; Head lamp 9V, 9.5W High beam LED / 6V, 5W Low beam LED; Tail / brake lamp 12V, 10/5 W; Turn signal lamps bulb 12V, 10W x 4; Number plate lamp bulb 12V, 3W x 1; ** In cold condition.",234
78,78,"Speedometer lamp bulb: 12V, 1.7W x 2; Turn signal indicator lamp bulb: 12V, 1.7W x 2; High beam indicator lamp: 12V, LED; Low fuel warning lamp: 12V, LED; Economy and power mode indicator lamp: 12V, LED; Malfunction indicator lamp: 12V, LED; ISG malfunction indicator lamp: 12V, LED; Horn: 12V, DC; Fuse: Blade type - 12V, 15A x 1 / Mini fuse 12V, 15A x 1 & 12V, 10A x 1; Warning: Using the bulb other than the specified rating can result in overloading of the electrical system or premature failure of the bulb.",149
79,79,"77: The fuel tank is not a measuring instrument and the capacity of the fuel tank may vary from the indicated capacity. Specifications are subject to change without notice. Description: TVS Jupiter 125 (Sheet Metal Wheel - Drum Type). Capacities: Fuel tank capacity: 5.1L; Fuel: BS VI petrol with minimum RON 91 (containing up to 10% of ethanol by volume); Engine/transmission oil grade: TVS TRU4 SKUUTA oil (SAE 10W30 API-SL, JASO MB); Engine oil capacity: 700ml; Transmission oil capacity: 120ml; Front fork oil grade: Gabriel Premium front fork oil; Front fork oil capacity: 92 ± 1ml per leg.",150
80,80,"GENERAL INFORMATION:
It is mandatory under the Motor Vehicles Act to insure all motor vehicles. No motor vehicle can be used in a public place without a valid policy of insurance issued by an authorised insurer. Driving a motor vehicle without any such insurance is an offense under Motor Vehicles Act. To assist Customers on their insurance requirements such as the prompt issue and renewal of policies as well as expeditious settlement of claims if any, our preferred insurers are:",89
81,81,"'
The cat is sleeping on the couch
'''

The cat is located on the couch and is in a state of sleep.",29
82,82,"'
The cat is sleeping on the couch
'''

The cat is located on the couch and is in a state of sleep.",29
