raw_index,source,content,tokens,noise_content
21,18,"Cause of poor braking: 
1. Insufficient friction is generated if brake shoes/pads or drum/disc are worn out or if there is water or oil on them. 
2. Poor braking can also occur if the road surface is wet or the tyre surface is worn-out, as tyres do not take a firm hold on the surface, increasing the stopping distance. 
3. Approximately 60% of braking effect is from the front brake, so non-usage of the front brake can cause poor braking. 
4. As the vehicle speed increases, the stopping distance also increases progressively. 
5. Using only the front or rear brake is dangerous and can cause skidding and loss of control. 
6. Both brakes should be applied together and with great care on a wet road or other slippery surfaces. 
7. Abrupt braking on slippery or irregular roads can cause loss of rider control. 
8. When selecting and installing accessories for the scooter, extreme caution should be taken to ensure that the accessories do not obstruct lighting, steering, suspension level and ground clearance. 
9. Adding additional electrical equipment is not acceptable as it will void the warranty terms of the vehicle.",248,"16Causes for poor braking
1. If the brake shoes / pads or drum / disc are worn 
out or if there is water or oil on them, sufficient 
friction does not develop and brakes do not work 
well.
2. Even when the brake works normally, if the road 
surface is wet or the tyre surface is worn-out, 
tyres do not take a firm hold on the surface, 
increasing the stopping distance.
3. Approximately 60% braking effect is from front 
brake. Non-usage of front brake causes poor 
braking.
As the vehicle speed increases, the stopping distance 
also increases progressively. Be sure that, you have 
sufficient distance between you and the vehicle or 
obstruction ahead of you.
Using only the front or rear brake is dangerous and can 
cause skidding and loss of control. Apply both the 
brakes together and with great care on a wet road or 
other slippery surfaces . Any abrupt braking on slippery 
or irregular roads can cause loss of rider control.WarningACCESSORY INSTALLATION AND SAFETY TIPS
Use extreme caution while selecting and installing 
the accessories for your scooter.
The addition of unsuitable accessories can lead to 
unsafe operating conditions.  Your friendly Dealer 
will assist you in selecting quality accessories and 
installing them correctly.
While selecting the accessories, make sure that the 
accessories should not obstruct lighting, steering, 
suspension level and ground clearance.
Additional electrical equipments is not acceptable 
as it will void the warranty terms of the vehicle."
22,19,"All TVS vehicles are tested in the factory for optimal fuel efficiency and CO levels. If adjustments are needed, the owner should consult a TVS Motor Company Authorised Main Dealer/Authorised Dealer. Adequate care is taken at the factory to ensure emissions are within limits, but it is essential for the owner to maintain the TVS Jupiter 125 in good condition by getting it periodically checked and serviced by a TVS Motor Company Authorised Main Dealer/Authorised Dealer to maintain emission and fuel consumption levels as per norms. The engine of the TVS Jupiter 125 is equipped with a closed crankcase ventilation system to prevent discharging crankcase emissions into the atmosphere. The vehicle is also equipped with an evaporative emission control system which consists of a canister and associated piping to prevent the escape of fuel vapors from the fuel tank. The vehicle is tested and certified for emission which meets BS VI emission norms and is valid for initial 12 months from the date of purchase. The owner should get the vehicle certified by a Government authorised emission testing station after initial 12 months of usage and ensure to get the vehicle certified on expiry.",226,"17
17EMISSION CONTROL
All the TVS vehicles are tested in the factory for 
optimum fuel efficiency and CO levels.  If the vehicle 
needs any adjustments, please consult nearest TVS 
Motor Company Authorised Main Dealer / Authorised 
Dealer.
While adequate care is exercised at the factory to 
ensure that the emissions are within the limits, it is 
essential for the owner to always maintain the TVS 
Jupiter 125 in good condition by getting it periodically 
checked and serviced by TVS Motor Company 
Authorised Main Dealer / Authorised Dealer so 
that the emission and fuel consumption levels are 
maintained as per norms.
Crankcase emission control system
The engine of your TVS Jupiter 125 is equipped  
with a closed crankcase ventilation system to 
prevent discharging crankcase emissions into 
the atmosphere. Blow-by gas is returned to the 
combustion chamber through the air cleaner and the 
fuel system.
Evaporative emission control system
TVS Jupiter 125 is equipped with an evaporative 
emission control system which consists of a canister 
and associated piping. This system prevents the 
escape of fuel vapors from the fuel tank.Y our vehicle is tested and certified for emission 
which meets BS VI emission norms and is valid for 
initial 12 months from the date of purchase. Get 
your vehicle certified by the Government authorised 
emission testing station after initial 12 months of 
usage. And ensure to get vehicle certified on expiry"
23,19,"Your vehicle must be certified by a Government-authorized emission testing station after the initial 12 months of usage. Ensure to get your vehicle certified when the certificate expires. Note: If there is any abnormal jerk, startability issue, or noise due to sudden escape of gas when opening the fuel tank cap, immediately report to a TVS Motor Company Authorised Main Dealer/Authorised Dealer. Warning.",79,"your vehicle certified by the Government authorised 
emission testing station after initial 12 months of 
usage. And ensure to get vehicle certified on expiry 
of the certificate obtained.NoteIf there is any abnormal jerk, startability issue are felt in 
the vehicle or noise due to sudden escape of gas during 
opening of fuel tank cap, immediately report to the TVS 
Motor Company Authorised Main Dealer / Authorised 
Dealer.Warning"
24,20,"""Vehicle Identification Number: The frame and engine serial numbers are the only way to differentiate this vehicle from others of the same model and type. They are also necessary for ordering parts or accessing special information from the Dealer. To identify the frame serial number, open the seat assembly and look for the number stamped on the frame at the rear end. The engine serial number is stamped on the left side of the engine, near the center stand mounting. Look at the bottom to read the serial number.""",99,"18VEHICLE IDENTIFICATION NUMBER
The frame and engine serial numbers are the only means of identifying your vehicle from others of the same model 
and type. They are also required to assist your Dealer for ordering parts or referring to special information.KNOW YOUR TVS JUPITER 125
The frame serial number is stamped on the frame, at 
the rear end below the seat assembly. Open the seat 
assembly to read the frame number.The engine serial number is stamped on the left 
side of the engine, at the bottom, near center stand 
mounting. See bottom to read serial number."
25,21,"Speedometer assembly, Rear view mirror R, Right hand brake lever, Throttle grip, Engine kill switch, Electric starter switch, Smart phone charger, All in one lock, Glove box, Bag hook (front), Fuel tank cap, Horn switch, Turn signal lamp switch, Left hand brake lever, Parking brake, Rear view mirror L, High/low beam cum pass-by switch.",79,"19
19LOCATION OF PARTS - HANDLE BAR
1. Speedometer assembly
2. Rear view mirror R*
3. Right hand brake lever
4. Throttle grip
5. Engine kill switch
6. Electric starter switch
7. Smart phone charger*
8. All in one lock
9. Glove box
10. Bag hook (front)
11. Fuel tank cap
12. Horn switch
13. Turn signal lamp switch
14. Left hand brake lever
15. Parking brake
16. Rear view mirror L*
1 7. High / low beam cum pass-by 
switch 
* Mandatory and optional accessory will be charged extra
12
3
4
5
6
7
81213141516 17
911
10"
26,22,"Location_of_Parts: Vehicle_Left_Side:
1. Rear_Brake_Adjusting_Nut
2. Effortless_Easy_Center_Stand
3. Side_Stand
4. Pillion_Foot_Rest_L
5. Speedometer_Cable
6. Front_Brake_Adjusting_Nuts
7. Pillion_Handle
6 17
234 5",87,"20LOCATION OF PARTS - VEHICLE LEFT SIDE
1. Rear brake adjusting nut
2. Effortless easy center stand
3. Side stand
4. Pillion foot rest L
5. Speedometer Cable
6. Front brake adjusting nuts
7. Pillion handle
6 17
234 5"
27,23,"Front_wheel_axle_nut, Bag_hook_(rear), Cover_front, Pillion_foot_rest_R, Gauge_oil_level, Muffler_assembly, Rear_fender, Seat_assembly, 1, 5, 6, 7, 4, 8, 3, 2",66,"21
21LOCATION OF PARTS - VEHICLE RIGHT SIDE
1. Front wheel axle nut
2. Bag hook (rear)
3. Cover front
4. Pillion foot rest R
5. Gauge oil level
6. Muffler assembly
7. Rear fender
8. Seat assembly
1 5 6 7 48
3 2"
28,24,"Location_of_Parts: Vehicle_Front, Vehicle_Rear
Front:
1. LED_Head_lamp
2. Head_lamp_focus_adjuster
3. Turn_signal_lamp_front_LH
4. Turn_signal_lamp_front_RH
5. Throttle_cable_adjuster
Rear:
1. Turn_signal_lamp_rear_RH
2. Tail/brake_lamp
3. Transmission_oil_level_screw
4. Reflex_reflector
5. Turn_signal_lamp_rear_LH
Accessory: License_plates, Mandatory, Extra_charge",153,"22LOCATION OF PARTS - VEHICLE FRONT & REAR
FRONT
1. LED Head lamp
2. Head lamp focus adjuster
3. Turn signal lamp front LH
4. Turn signal lamp front RH
5. Throttle cable adjuster
REAR
1. Turn signal lamp rear RH
2. Tail / brake lamp
3. Transmission oil level screw
4. Reflex reflector
5. Turn signal lamp rear LH
* License plates are mandatory accessory will be charged extra
351
2
4
1 5
4 2
3"
29,25,"Leaving the ignition cum steering lock in the 'ON' position will drain the battery when the vehicle is not in use. To prevent this, switch 'OFF' and take the key out when the vehicle is not in use. For safety, always lock the steering. Caution: Never attempt to move the vehicle when the steering is locked, as it may cause loss of balance. Warning: The TVS Jupiter 125 comes with an 'All in One Lock' with five positions: 'OFF' (all electrical circuits are turned 'OFF' and the engine will not start; key can be taken out), 'ON' (all electrical circuits are turned 'ON' and the engine can be started; key cannot be removed), and 'Steering LOCK' (steering can be locked in both 'left' and 'right' directions; push the key 'IN', turn it to the 'LOCK' position, take out the key, and insert the key into the lock and turn it to 'OFF' or 'ON' position to unlock the steering). Note: When the ignition key is switched on, the pump priming noise may be heard, which is normal. Avoid frequent 'SWITCH-OFF & ON' of the ignition key to avoid unnecessary run of fuel pump. The speedometer back illumination, tail lamp, and license plate lamp will glow automatically once the ignition key is turned 'ON' without activating any other switches.",290,"23
23Leaving the ignition cum steering lock in ‘ON’ position 
will drain the battery when the vehicle is not in use. 
switch ‘OFF’ and take the key out when the vehicle is 
not in use. For safety always lock the steering.Caution
Never attempt to move the vehicle when the steering is 
locked, you may lose balance.WarningALL IN ONE  LOCK
TVS Jupiter 125 comes with an ‘ All in one lock’. It has 
five positions and they are:
1. ‘OFF’ position 
All the electrical circuits are turned ‘OFF‘ in this 
position. Engine will not start. Key can be taken out.
2. ‘ON’ position
In this position, all the electrical circuits are turned 
‘ON’ and the engine can be started now. Key cannot 
be removed in this position.
3. Steering ‘LOCK’ position
TVS Jupiter 125‘s steering can be locked in both ‘left’ 
and ‘right’ directions.
To lock the steering, turn the handle bar all the way 
to the ‘left’ or ‘right’. Push the key ‘IN’, turn it to the 
‘LOCK’ position and take out. All the electrical circuits 
are turned ‘OFF’ in this position. Insert the key into 
the lock and turn it to ‘OFF’ or ‘ON’ position to 
unlock the steering.
Note
When you switch on ignition key, the pump priming noise 
may be heard, which is normal. Avoid frequent ‘SWITCH 
-OFF & ON’ of ignition key, to avoid unnecessary run of 
fuel pump.
The speedometer back illumination, tail lamp and license 
plate lamp glow automatically once the ignition key is 
turned ‘ON’ without activating any other switches."
30,26,"To unlock the seat of the TVS Jupiter 125, keep the key in the 'OFF' position and turn it anticlockwise without pushing the key 'IN'. To lock the seat, press the seat at the rear end until a 'Click' sound is heard. To unlock the fuel tank cap, keep the key in the 'OFF' position, push the key 'IN' and turn it clockwise. The tank cap will open automatically. To close the fuel tank cap, press the cap at the front end until a 'Click' sound is heard. When closing the fuel tank cap, press at the dotted mark area of the cap for easy closing.",133,"244. Seat ‘Unlock’ position
Seat lock operation is inbuilt in ‘ All in one lock’ of TVS 
Jupiter 125. To open the seat, keep the key in ‘OFF’ 
position and turn it to anticlockwise direction without 
pushing the key ‘IN’. 
To lock the seat again, press the seat at the rear end 
to its position till a ‘Click’ sound is heard.5. Fuel tank cap ‘Unlock’ position
Fuel tank cap lock operation is inbuilt in ‘ All in one 
lock’ of TVS Jupiter 125. To open the fuel tank cap, 
keep the key in ‘OFF’ position, push the key ‘IN’ and 
turn it to clockwise direction. The tank cap opens 
automatically. 
To close the fuel tank cap, press the cap at the front 
end to its position until a ‘Click’ sound is heard.
While closing the fuel tank cap press at the dotted mark 
area of the cap for easy closing. Note"
31,27,"25SPEEDOMETER ASSEMBLY: 
1. Turn signal indicator lamp left (): Flashes when the left side turn signal indication is activated. 
2. Speedometer: Indicates vehicle speed in kilometers per hour. 
3. Turn signal indicator lamp right (): Flashes when the right side turn signal indication is activated. 
4. Low fuel warning indicator lamp (LFI): Safety indicator to caution user to fill petrol as soon as possible. Minimum 1.5 liter of fuel should be maintained in the fuel tank to avoid engine switch ‘OFF’ / damage to fuel pump which leads to replacement of pump without warranty. Note: LFI is not a mileage calculating medium and should not be used for measurement of fuel consumption. 
5. Fuel gauge: Indicates approximate quantity of fuel available in the fuel tank. 
6. ODO meter: Registers and displays total distance covered by the vehicle in kilometers. Last digit of the odometer denotes one tenth of a kilometer. Note: Fuel gauge is not a mileage calculating medium and should not be used for calculating the vehicle mileage.",232,"25
25SPEEDOMETER ASSEMBLY
1. T urn signal indicator lamp left (      )
Flashes when the left side turn signal indication is 
activated.
2. Speedometer
Indicates vehicle speed in kilometers per hour.
3. T urn signal indicator lamp ri ght (      )
Flashes when the right side turn signal indication is 
activated.4. Low fuel warning indicator lamp**
‘Low Fuel Warning Indicator (LFI)’ is a safety indicator 
to caution you to fill the petrol as soon as possible. 
Caution
Minimum 1.5 liter of fuel should be maintained in 
the fuel tank to avoid engine switch ‘OFF’ / damage 
to fuel pump which leads to replacement of pump 
without warranty.
** ‘LFI’ is not a mileage calculating medium and it should not be 
used for measurement of fuel consumption.5. Fuel gauge
Fuel gauge indicates the approximate quantity of fuel 
available in the fuel tank.
6. ODO meter
Odometer registers and displays the total distance 
covered by the vehicle in kilometers. Last digit of the 
odometer denotes one tenth of a kilometer.
Please note that, the fuel gauge is not a mileage 
calculating medium and it should not be used for 
calculating the vehicle mileage.Note
71 2 3 4
5 6 8 91011"
32,28,"Economy indicator (green lamp) indicates that the vehicle is running in economy mode, which gives better fuel economy. Power indicator (amber lamp) indicates that the vehicle is running in power mode, which results in reduced fuel economy. Malfunction indicator lamp (MIL) is turned 'ON' when the ECU detects a fault in the EFI system. If the MIL is glowing continually even after starting the engine, immediately contact the nearest TVS Motor Company Authorised Main Dealer / Authorised Dealer. If the side stand is deployed before starting the vehicle, the vehicle will not get started. If the side stand is deployed with the engine running condition, the engine gets off automatically to ensure safety. If there is an error in the side stand sensor, the indication will blink and the vehicle will not start. In such a condition, please visit the nearest TVS Motor Company Limited Authorised Main Dealer / Authorised Dealer. Note: Always ride the vehicle in 'Economy mode' for better fuel efficiency. If the battery voltage is very low, 'Power mode' lamp will glow once the ignition key is switched 'ON'. Electric starter will not work in this condition. Contact TVS Motor Company Authorised Main Dealer / Authorised Dealer. Note: ISG malfunction indicator will be turned 'ON' when the ISG detects a fault in the system.",272,"267 . Economy and power indicators
Eco indicator (green lamp) indicates that the vehicle 
is running in economy mode which gives better fuel 
economy.
Power indicator (amber lamp) indicates that the 
vehicle is running in power mode which results in 
reduced fuel economy. 
8. Malfunction indicator lamp - MIL  (        )
MIL is turned ‘ON’ when the ECU detects a fault in 
the EFI system.
If the malfunction indicator lamp ‘         ’ is glowing 
continually even after starting the engine, 
immediately contact the nearest TVS Motor 
Company Authorised Main Dealer / Authorised 
Dealer.
If the side stand is deployed before starting the vehicle, 
the vehicle will not get started. And if the side stand is 
deployed with the engine running condition, the engine 
gets of automatically to ensure the safety.
If there is a error in the side stand sensor the indication 
will blink and the vehicle will not start. In such condition, 
please visit the nearest TVS Motor Company Limited 
Authorised Main Dealer / Authorised Dealer.Note
Always ride the vehicle in ‘Economy mode’ for better 
fuel efficiency.
If the battery voltage is very low, ‘Power mode’ lamp 
will glow once you switch ‘ON’ the ignition key. Electric 
starter will not work in this condition. Contact TVS Motor 
Company Authorised Main Dealer / Authorised Dealer.Note9. ISG malfunction indicator (       )
ISG malfunction indicator will be turned ‘ON’ when 
the ISG detects a fault in the system."
33,28,"ISG malfunction indicator will be turned 'ON' when the ISG detects a fault in the system. If the ISG malfunction indicator is glowing continually after the ignition 'ON', contact the nearest TVS Motor Company Authorised Main Dealer / Authorised Dealer. The side stand warning indicator turns 'ON' along with the buzzer to alert when the vehicle's side stand is deployed. The vehicle will not start in this condition. The high beam indicator lamp glows either when the head lamp high beam or the pass-by is activated.",108,"Company Authorised Main Dealer / Authorised Dealer.Note9. ISG malfunction indicator (       )
ISG malfunction indicator will be turned ‘ON’ when 
the ISG detects a fault in the system.
If the ISG malfunction indicator is glowing continually 
after the ignition ‘ON’, immediately contact the 
nearest TVS Motor Company Authorised Main Dealer 
/ Authorised Dealer.
10. Side stand indicator (    )
The side stand warning indicator turns ‘ON’ along 
with the buzzer to alert you when the vehicle’s side 
stand is deployed. The vehicle will not start in this 
condition.
11. High beam indicator lamp
Glows either when the head lamp high beam or the 
pass-by is activated."
34,29,"TVS Jupiter 125 comes with a LED head lamp which glows automatically once the engine is started. The head lamp beam (high / low) can be controlled by changing the beam control switch position to ‘Low’ or ‘High’ beam. On the handle bar left side, press the switch '1' to operate the horn. Slide the turn signal lamp switch to the left '2' or right side '3' to operate respective turn signal lamps (LH / RH). Press the switch '4' to turn 'OFF'. Always use the appropriate turn signal lamps when you intend to change lanes or take turns. Be sure to switch 'OFF' it after negotiating the lanes or turns.",144,"27
27LED HEAD LAMP
TVS Jupiter 125 comes with a LED head lamp which 
glows automatically once the engine is started. The 
head lamp beam (high / low) can be controlled by by 
changing the beam control switch position to ‘Low’ 
or ‘High’ beam.HANDLE BAR LEFT SIDE
1. Horn switch
Press the switch ‘         ’ to operate the horn.
2. T urn signal lamp switch
Slide the turn signal lamp switch to the left  ‘      ’ 
or right side ‘      ’ to operate respective turn signal 
lamps (LH / RH). Press the switch to turn ‘OFF’.
Warning
Always use the appropriate turn signal lamps when you 
intend to change lanes or take turns. Be sure to switch 
‘OFF’ it after negotiating the lanes or turns.
1 23 5 4"
35,30,"Synchronised Braking Technology (SBT) can be operated by pressing the left hand brake lever gently towards the handle grip, which helps to distribute the force optimally between the front and rear brakes. To activate the brake lock, press the brake lever almost half towards the grip and hold, then press the parking brake lever to the maximum and release the brake lever slowly. Ensure the brake is locked properly. Pressing the brake lever further releases the brake lock automatically. It is essential to maintain the brake system in good condition and adjust the brakes system at regular intervals for the proper working of SBT. Ensure to release the brake lock before riding the vehicle. The head lamp glows automatically once the engine is started and the head lamp beam (high/low) can be controlled by pressing the ‘high/low beam’ switch towards ‘high’ to operate head lamp high beam or towards ‘low’ to operate head lamp low beam. TVS Jupiter 125 has a combined switch for head lamp ‘high/low beam’ and ‘pass-by’ operation.",223,"283. Left hand brake lever (SBT brake lever)
Synchronised Braking Technology (SBT) can be 
operated by pressing the left hand brake lever gently 
towards the handle grip.
SBT technology helps to operate both front and rear 
brakes by distributing the force optimally between 
the two braking system.
4. Parking brake (rear brake lock lever)
Brake lock protects your scooter from rolling-off, 
when parked on side stand (or) helps you relax while 
waiting in a long traffic signal (or) a slope.
To activate brake lock, press the brake lever almost 
half towards the grip and hold, then press the parking 
brake lever to the maximum and release the brake 
lever slowly. Ensure the brake is locked properly. 
Pressing the brake lever further releases the brake 
lock automatically.
Warning
Since your vehicle is fitted with SBT brake system it is 
essential to maintain the brake system in good condition. 
Adjust the brakes system at regular intervals for the 
proper working of SBT .
Ensure to release the brake lock before riding the vehicle.5. High/low beam cum pass-by switch
The head lamp glows automatically once the 
engine is started. Only the head lamp beam (high 
/ low) can be controlled by pressing the ‘high / 
low beam‘ switch.
Press the switch towards ‘        ’ to operate head lamp 
high beam or press it towards ‘       ’ to operate head 
lamp low beam.
TVS Jupiter 125 has a combined switch for head lamp 
‘high / low beam’ and ‘pass-by’ operation. To operate"
36,30,"TVS Jupiter 125 has a combined switch for head lamp 'high / low beam' and 'pass-by' operation. To operate the pass-by, keep the switch in low beam position and gently press & release the switch. This will make the head lamp high beam to flash and signal the approaching vehicle. The pass-by signal can be used while overtaking during day time. Warning: Use appropriate head lamp beam 'high / low' as per the traffic and road conditions for safety and to avoid inconvenience to other riders. It is strongly recommended to ride the vehicle in 'low beam' during day.",123,"high beam or press it towards ‘       ’ to operate head 
lamp low beam.
TVS Jupiter 125 has a combined switch for head lamp 
‘high / low beam’ and ‘pass-by’ operation. To operate 
the pass-by, keep the switch in low beam position 
and gently press & release the switch. This makes 
the head lamp high beam to flash and signal the 
approaching vehicle. The pass-by signal can be used 
while overtaking during day time.
Warning
Use appropriate head lamp beam ‘high / low’ as per 
the traffic and road conditions for your safety and 
to avoid inconvenience to other riders. It is strongly 
recommended to ride the vehicle in ‘low beam’ during 
day."
37,31,"Engine kill switch is used to switch 'OFF' the engine but to keep the other DC system active. With the ignition 'ON' condition, keep the switch in 'OFF' position, turns 'OFF' engine alone. Keeping the switch in 'DISABLE' position disables the ignition circuit and prevents the engine from being restarted. To restart the engine, position the switch to the 'ON' position. Front brake system can be operated by pressing the right hand brake lever gently towards the throttle grip. The brake lamp glows on application of either right hand or left hand brake lever. Engine speed is controlled by the rotation of the throttle grip. Twist it towards you to increase the engine speed and twist it away from you or release it to decrease the engine speed. Press the starter switch 'ON' to start the engine electrically along with the application of either of the brake while keeping the engine kill switch in 'ON' position and side stand in retracted condition. Before starting, ensure to turn 'ON' the engine kill switch and retract the side stand. Note: It is not recommended to add any additional throttle grip (cover) to the vehicle.",233,"29
291. Engine kill switch
Engine kill switch is used to switch ‘OFF’ the engine 
but to keep the other DC system active.
With the ignition ‘ON’ condition, keep the switch in  
‘        ‘ position, turns ‘OFF’ engine alone. Keeping the 
switch in  ‘       ‘ position disables the ignition circuit 
and prevents the engine from being restarted.
 To restart the engine, position the switch to the  ‘        ‘ 
position.HANDLE BAR RIGHT SIDE 2. Right hand brake lever
Front brake system can be operated by pressing the 
right hand brake lever gently towards the throttle 
grip. The brake lamp glows on application of either 
right hand or left hand brake lever.
3. Throttle grip
Engine speed is controlled by the rotation of the 
throttle grip. Twist it towards you to increase the 
engine speed and twist it away from you or release it 
to decrease the engine speed.
4. Electric starter switch
Press the starter switch ‘     ’ to start the engine 
electrically along with the application of either of the 
brake while keeping the engine kill switch in  ‘       ’ 
position and side stand in retracted condition.
2
1
43
Before starting, ensure to turn ‘ON’ the engine kill switch 
and retract the side stand.Note
Caution
It is not recommended to add any additional throttle grip 
(cover) to the vehicle."
38,32,"The fuel tank is located at the front end of the vehicle below the handle bar. To open the fuel tank cap, follow the procedure given in page no. 24. To close the cap, gently press the cap in its position and ensure its locking by hearing a 'Click' sound. Note that the fuel tank is not a measuring instrument and the capacity of the fuel tank may slightly vary from the indicated capacity. Caution: Ensure that the fuel gun is inserted fully into the tank neck while refueling. Whenever refueling the scooter, fill only the recommended quantity of fuel. While refueling, avoid spillage of petrol on the tyre, as it will cause the tyre to lose its grip on the road. Ensure to close the fuel tank cap without fail to avoid fuel spillage. Warning: Never refill fuel near open flame. Do not smoke while refueling. Do not use cell phones while refueling. While closing the fuel tank cap, press at the dotted mark area of the cap for easy closing.",204,"30FUEL TANK** CAP
Fuel tank is located at the front end of the vehicle 
below the handle bar.
To open the fuel tank cap, follow the procedure 
given in the page no. 24. To close the cap, gently 
press the cap in its position and ensure its locking by 
hearing ‘Click’  sound.
** The fuel tank is not a measuring instrument and the capacity 
of the fuel tank may slightly vary from the indicated capacity.
Caution
Ensure that the fuel gun is inserted fully into the tank 
neck while refueling.
Whenever refueling the scooter, fill only the recommened 
quantity of fuel.
While refueling, avoid spillage of petrol on the tyre. If 
fuel spills on tyre, the tyre will loose its grip on the road. 
Ensure to close fuel tank cap without fail to avoid fuel 
spillage.
Warning
Never refill fuel near open flame. Do not smoke while 
refueling. Do not use cell phones while refueling.
While closing the fuel tank cap press at the dotted mark 
area of the cap for easy closing. Note"
39,33,"TVS Jupiter 125 is equipped with a effortless center stand. The center stand has a pivoted flexible spring loaded lever arm (stand extension) to increase the lever ratio, which enables parking on center stand effortlessly and very conveniently. To place the vehicle on center stand, hold the handle bar left grip with left hand and place your foot firmly on the center stand extension and press. The side stand can be operated by sitting on vehicle with your left foot by pushing it away from the vehicle till it stops. Caution: Never sit on vehicle when it is supported by stands. Always park the vehicle on a flat, firm surface. If the side stand is deployed before starting the vehicle, the vehicle will not get started. And if the side stand is deployed with the engine running condition, the engine gets of automatically to ensure the safety. If there is a error in the side stand sensor the indication will blink and the vehicle will not start. In such condition, please visit the nearest TVS Motor Company Limited Authorised Main Dealer / Authorised Dealer. Note.",212,"31
31EFFORTLESS E-Z CENTER STAND
TVS Jupiter 125 is equipped with a effortless center 
stand. The center stand (1) has a pivoted flexible 
spring loaded lever arm (stand extension) (2) to 
increase the lever ratio, which enables parking on 
center stand effortlessly and very conveniently.
To place the vehicle on center stand, hold the handle 
bar left grip with left hand. Place your foot firmly on 
the center stand extension (2) and press.SIDE STAND 
Side stand can be operated by sitting on vehicle with 
your left foot by pushing it away from the vehicle till 
it stops.
1
2
Caution
Never sit on vehicle when it is supported by stands. 
Always park the vehicle on a flat, firm surface.
If the side stand is deployed before starting the vehicle, 
the vehicle will not get started. And if the side stand is 
deployed with the engine running condition, the engine 
gets of automatically to ensure the safety.
If there is a error in the side stand sensor the indication 
will blink and the vehicle will not start. In such condition, 
please visit the nearest TVS Motor Company Limited 
Authorised Main Dealer / Authorised Dealer.Note"
40,34,"A tool kit and first aid kit are supplied with the vehicle and located below the seat base. To access the tool kit, the seat needs to be opened. Refer to page 24 for instructions on how to open the seat. It is recommended to use the tool kit in case of emergency only and it is advised to take the vehicle to a TVS Motor Company Authorised Main Dealer/Authorised Dealer for any repairs. The tool kit consists of one 10x12 mm spanner, one combination screw driver bit, one screw driver handle, and one tool bag. Do not remove the tool kit and first aid kit from the vehicle and ensure to keep them with the vehicle. The first aid equipments should be changed periodically based on the date of expiry.",152,"32TOOL KIT AND FIRST AID KIT
To assist you in performing certain aspects of 
periodic maintenance and emergency repairs, a tool 
kit is supplied along with the vehicle and it is located 
below the seat base. To access the tool kit, seat need 
to be opened. Follow the procedure given in the page 
no. 24 for opening the seat.
Caution
It is recommended to use the tool kit in case of any 
emergency only. It is always advisable to take your 
vehicle to TVS Motor Company Authorised Main Dealer 
/ Authorised Dealer.
The tool kit consists one number each of the 
following. Ensure the contents of the tool kit.
10x12 mm spanner
Combination screw driver bit
Screw driver handle
Tool bag
Warning
Do not remove the tool kit and first aid kit from the 
vehicle. Always ensure to keep them along with the 
vehicle. Ensure the first aid equipments are changed 
periodically based on the date of expiry."
41,35,"The utility box is located below the seat and can be accessed by unlocking the seat lock as explained on page 24. Warning: Operating the TVS Jupiter 125 overloaded will affect the riding stability and may lead to loss of control, so it is recommended to only carry the recommended amount of load. Caution: The utility box has a storage space of 33 liters and should not be used to store perishable items as it is not fully sealed. Do not allow or spray water to get inside the utility box, and take care not to spill petrol or oil into it. Heat-sensitive items should not be kept inside as it may get hot on long rides, and valuable items should not be kept inside when leaving the vehicle unattended.",147,"33
33UTILITY BOX
Utility box is located below the seat. Lift the seat by 
unlocking the seat lock as explained in the page no. 
24 to access the utility box. 
Warning
Operating the TVS Jupiter 125 overloaded will hamper 
the riding stability and may lead to loss of control. 
Hence, it is advisable to carry the recommended amount 
of load only.Caution
Utility box has the storage space of 33 liters.
Do not carry perishable items inside the utility box. It is 
not fully sealed. Do not allow / spray water to get inside 
the utility box. Take care not to spill petrol or oil into the 
utility box.
Do not keep heat-sensitive items inside as it may get 
hot on long rides. Do not keep valuable items inside 
the utility box when leaving the vehicle unattended."
42,36,"TVS Jupiter 125 is provided with a glove box front which has a storage capacity of 2 liters and can be used to hold mobiles while charging or a small bottle. It is important to ensure that any material stored in the glove box front is safely held while riding the scooter. It is also recommended not to keep belongings in the vehicle when it is parked unattended. There are two bag hooks provided with the scooter to carry light luggage such as carry bags weighing up to 3 kg. One hook is located below the handle bar on the rear panel and the other is located on the cover front below the front end of the seat assembly. To use the hooks, pull them out from the top (A) and hang the luggage. Push the hook back to its original position once it is free.",162,"34GLOVE BOX FRONT
TVS Jupiter 125 is provided with glove box front. 
Which has 2 liter storage capacity and used to hold 
your mobiles while charging or hold a small bottle.
Warning
Ensure that your mobile or any material stored is safely 
held with in the glove box front while riding your TVS 
Jupiter 125.
Also recommended not to keep your belongings when 
the vehicle is parked unattended.
BAG HOOKS
There are two bag hooks provided with your scooter 
to carry light luggage like carry bags weighing upto 
3 kg. One hook is located below handle bar on the 
rear panel. 
Just pull out the hook from the top (A) to hang your 
luggage. Push back the hook once it is free.
Similarly, the other one is located on the cover front 
below front end of the seat assembly. Pull out the 
hook from its position. Open the top lid and hang 
your cargos. Lid will get close automatically. Push 
back the hook to its original position once it is free.
A"
